0,title,artist,genre,bpm,nrgy,dnce,live,val,dur,acous,spch,pop,artist_code,genre_code
196,Anything Could Happen,Ellie Goulding,dance pop,103,78,70,14,38,286,43,3,52,47,25
197,Finally Found You,Enrique Iglesias,dance pop,128,88,62,35,66,221,1,10,52,50,25
198,Pom Poms,Jonas Brothers,boy band,148,98,68,28,90,198,7,9,52,82,12
199,#Beautiful,Mariah Carey,dance pop,107,76,68,31,45,200,29,4,51,112,25
200,How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,201,95,36,37,51,211,9,48,50,101,25
201,Crazy Kids (feat. will.i.am),Kesha,dance pop,128,75,72,13,50,229,4,4,46,89,25
202,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,128,57,69,11,73,257,2,5,45,18,25
203,People Like Us,Kelly Clarkson,dance pop,128,79,60,36,61,259,4,4,45,87,25
204,Overdose,Ciara,dance pop,107,70,77,6,79,227,1,3,43,32,25
205,Right Now - Dyro Radio Edit,Rihanna,barbadian pop,130,74,53,24,45,186,0,4,42,145,8
206,Give It 2 U,Robin Thicke,dance pop,127,83,67,16,58,230,10,7,41,148,25
207,Foolish Games,Jewel,alaska indie,132,34,51,12,7,250,23,3,36,77,1
208,Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,95,84,71,21,66,207,16,3,35,141,25
209,Freak,Kelly Rowland,atl hip hop,104,78,65,12,45,274,13,6,28,88,4
210,All of Me,John Legend,neo mellow,120,26,42,13,33,270,92,3,86,79,46
211,Stay With Me,Sam Smith,pop,84,42,42,11,18,173,59,4,85,151,48
212,Summer,Calvin Harris,dance pop,128,86,60,14,74,223,2,3,80,22,25
213,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,160,82,65,9,96,233,22,18,79,140,25
214,Rude,MAGIC!,pop,144,76,77,31,93,225,4,4,79,107,48
215,Shake It Off,Taylor Swift,pop,160,80,65,33,94,219,6,17,78,166,48
216,Dark Horse,Katy Perry,dance pop,132,59,65,17,35,216,0,5,78,86,25
217,Hey Brother,Avicii,big room,125,78,55,8,46,255,3,4,78,12,11
218,Maps,Maroon 5,pop,120,71,74,6,88,190,2,3,78,114,48
219,Treasure,Bruno Mars,pop,116,69,87,32,94,179,4,4,77,19,48
220,Let Her Go,Passenger,folk-pop,75,54,51,10,24,253,39,6,77,139,35
221,Problem,Ariana Grande,dance pop,103,81,66,16,63,194,2,15,75,10,25
222,Pompeii,Bastille,metropopolis,127,72,68,27,57,214,8,4,73,14,44
223,Team,Lorde,art pop,100,58,69,31,42,193,17,9,73,103,3
224,Love Me Again,John Newman,pop,126,89,50,10,21,240,0,4,73,80,48
225,Latch,Disclosure,house,122,73,50,9,52,256,2,17,72,43,40
226,Adore You,Miley Cyrus,dance pop,120,66,58,11,20,279,11,3,72,121,25
227,Love Never Felt So Good,Michael Jackson,pop,118,72,78,7,71,246,13,4,71,119,48
228,Burn,Ellie Goulding,dance pop,87,78,56,11,33,231,31,4,71,47,25
229,She Looks So Perfect,5 Seconds of Summer,boy band,160,95,49,33,44,202,0,13,71,1,12
230,Fancy,Iggy Azalea,australian hip hop,95,72,91,5,38,200,9,7,70,68,6
231,Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,100,65,76,31,76,178,3,23,68,72,25
232,Gorilla,Bruno Mars,pop,140,54,72,10,64,244,45,4,68,19,48
233,human,Christina Perri,dance pop,144,49,44,11,25,251,13,4,68,31,25
234,Young Girls,Bruno Mars,pop,126,75,56,21,50,229,46,3,67,19,48
235,Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,82,62,70,16,72,193,8,25,67,72,25
236,Love Runs Out,OneRepublic,dance pop,120,93,72,8,74,225,17,6,66,135,25
237,This Is How We Do,Katy Perry,dance pop,96,64,69,15,80,204,2,5,66,86,25
238,Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,126,92,71,27,98,232,0,4,65,11,25
239,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,130,62,76,9,52,241,1,18,65,52,25
240,#SELFIE,The Chainsmokers,electropop,128,92,79,8,66,184,1,25,65,168,33
241,Partition,Beyoncé,dance pop,186,44,41,31,17,319,3,29,65,16,25
242,Birthday,Katy Perry,dance pop,126,67,72,11,84,215,9,7,65,86,25
243,G.U.Y.,Lady Gaga,dance pop,110,92,62,12,57,233,1,4,65,94,25
244,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,128,74,60,9,46,217,11,4,64,181,23
245,"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,140,66,50,27,25,226,3,4,63,42,25
246,Wings,Birdy,neo mellow,83,71,47,16,22,252,8,3,62,17,46
247,Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,138,81,69,14,82,207,12,7,62,156,22
248,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,192,77,35,12,4,191,6,5,61,41,25
249,Say Something,A Great Big World,neo mellow,138,15,45,9,9,229,87,3,61,2,46
250,A Sky Full of Stars,Coldplay,permanent wave,125,68,55,21,16,268,1,3,60,34,47
251,Come Get It Bae,Pharrell Williams,dance pop,120,80,93,10,90,202,27,8,59,140,25
252,Chandelier,Sia,australian dance,174,78,29,7,62,216,2,7,56,158,5
253,XO,Beyoncé,dance pop,170,79,47,31,21,216,17,26,56,16,25
254,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,125,94,60,10,55,222,0,7,56,141,25
255,Not About Angels,Birdy,neo mellow,116,14,41,9,23,190,97,4,56,17,46
256,Drunk in Love,Beyoncé,dance pop,140,62,59,18,40,323,1,5,52,16,25
257,Anaconda,Nicki Minaj,dance pop,130,60,96,21,65,260,7,18,50,132,25
258,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,92,81,68,34,64,169,7,6,50,27,19
259,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,128,82,80,35,61,198,18,4,50,156,22
260,Tee Shirt - Soundtrack Version,Birdy,neo mellow,76,34,68,9,56,160,84,3,49,17,46
261,Words as Weapons,Birdy,neo mellow,120,35,53,14,19,239,28,3,44,17,46
262,You're Mine (Eternal),Mariah Carey,dance pop,149,58,63,38,56,224,28,7,38,112,25
263,Sheezus,Lily Allen,dance pop,130,50,78,11,39,235,15,4,37,100,25
264,Cannonball,Lea Michele,hollywood,92,82,56,19,57,215,2,5,37,96,39
265,It's On Again - Main Soundtrack,Alicia Keys,hip pop,110,54,64,25,53,230,10,11,30,8,38
266,I Luh Ya Papi,Jennifer Lopez,dance pop,96,73,74,12,59,207,45,42,28,74,25
267,Not a Bad Thing,Justin Timberlake,dance pop,86,73,59,38,46,266,27,6,0,84,25
268,Thinking out Loud,Ed Sheeran,pop,79,45,78,18,59,282,47,3,84,46,48
269,I'm Not The Only One,Sam Smith,pop,82,49,68,8,49,239,53,4,84,151,48
270,The Hills,The Weeknd,canadian contemporary r&b,113,56,58,14,14,242,7,5,84,171,15
271,Love Yourself,Justin Bieber,canadian pop,100,38,61,28,52,234,84,44,83,83,18
272,Uptown Funk,Mark Ronson,dance pop,115,61,86,3,93,270,1,8,82,113,25
273,Take Me To Church,Hozier,irish singer-songwriter,129,66,57,12,44,242,63,5,81,66,42
274,Sugar,Maroon 5,pop,120,79,75,9,88,235,6,3,81,114,48
275,Sorry,Justin Bieber,canadian pop,100,76,65,30,41,201,8,5,81,83,18
276,FourFiveSeconds,Rihanna,barbadian pop,206,27,58,13,35,188,88,5,80,145,8
277,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,190,61,26,13,28,253,25,5,79,47,25
278,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,120,38,66,10,44,252,39,3,79,171,15
279,What Do You Mean?,Justin Bieber,canadian pop,125,57,85,8,79,206,59,10,79,83,18
280,Stitches,Shawn Mendes,canadian pop,150,75,75,5,76,207,2,7,78,157,18
281,Want to Want Me,Jason Derulo,dance pop,114,68,78,11,66,208,1,6,77,72,25
282,My House,Flo Rida,dance pop,94,70,69,13,74,192,2,5,77,54,25
283,Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,120,51,83,8,45,208,1,4,77,123,49
284,Night Changes,One Direction,boy band,120,52,67,12,37,227,86,4,77,134,12
285,How Deep Is Your Love,Calvin Harris,dance pop,122,87,74,39,34,213,4,7,77,22,25
286,Never Forget You,Zara Larsson,dance pop,146,73,58,27,28,213,0,5,77,180,25
287,Love Me Harder,Ariana Grande,dance pop,99,71,47,8,24,236,1,3,76,10,25
288,Animals,Maroon 5,pop,190,74,28,59,33,231,0,9,76,114,48
289,Blame,Calvin Harris,dance pop,128,86,41,34,35,213,3,8,76,22,25
290,Worth It,Fifth Harmony,dance pop,100,77,88,12,59,225,6,9,75,53,25
291,Break Free,Ariana Grande,dance pop,130,70,69,20,28,215,1,5,75,10,25
292,Don't,Ed Sheeran,pop,95,61,81,64,85,220,1,7,74,46,48
293,Elastic Heart,Sia,australian dance,130,79,42,15,50,257,1,5,73,158,5
294,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,121,59,80,19,55,228,16,4,73,33,25
295,Hello,Adele,british soul,158,45,48,9,29,295,34,3,73,4,13
